Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,3.759258189,3.386120334,2.998982646,2.89934096,2.618242683,0.604422642,0.517005476,2.056036907,1.911545056,0.541112514,1.316535777,1.298629253,2.374833518,2.201570112,1.925815035,2.698150079,1.586007003,1.727110194,1.715254684,2.5371815,2.240198946,2.040757063,1.908087413,2.006380956,2.227928984,2.286403311,2.248899223,2.260946741,2.309873597,2.173137996,1.792697083,1.56875651,1.9721746,2.137261572,2.567379223,2.826701176,1.863802133,1.72009298
Australia,AUS,,,,,,,,,,,0.436255272,0.389340032,0.439959679,0.439528695,0.347061175,0.294558384,0.290568222,0.295917781,0.350778228,0.367533964,0.421102513,0.418734071,0.397416414,0.507867354,0.49407215,0.558594524,0.577254972,0.736866196,0.798082571,0.801095984,0.760895211,0.762323127,0.591699718,0.353017586,0.395587616,0.119209351,0.129040713,0.123667384,0.125498463,0.136483871,0.124549289,0.128215784,0.117669488,0.139302481,0.134176476,0.135175703,0.1355983,0.15694034,0.144494573,0.143701915,0.162284678,0.17511155,0.15769943,0.156034658,0.158631373,0.160874489,0.170327698,0.150874629,0.130648847,0.1263843,0.089995529,0.060064322,0.077204012,0.100167578
Austria,AUT,,,,,,,,,,,0.107831376,0.138646769,0.164319259,0.178193518,0.230035526,0.217796121,0.245084028,0.230839597,0.248225714,0.268333655,0.298230939,0.315209966,0.309588545,0.297428684,0.29073918,0.290243906,0.306007883,0.322414724,0.33670761,0.352745118,0.381364546,0.44442064,0.417925319,0.40391438,0.415132638,0.420025596,0.41487448,0.430043329,0.649057912,0.833009038,0.914653941,0.898188196,0.926015564,0.951733309,0.836266636,0.731908789,0.748534358,0.749159878,0.738292895,0.772025963,0.760560227,0.75304986,0.739661765,0.758152969,0.73204088,0.749691915,0.729485626,0.708653138,0.664318693,0.673883173,0.695730559,0.667859878,0.636989092,0.640574206
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124103805,0.129009619,0.131133894,0.141553717,1.189457398,1.083560855,1.824316778,2.618901575,2.143322518,2.345259036,4.70528614,3.766164595,3.835876762,3.108058932,2.832639979,2.665497632,2.870355925,2.856173343,2.337048152,2.454052718,2.3927168,1.698439414,2.773341167,2.601837685,2.646993247,3.286456796,2.784540874,5.012251974,2.643608457
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004565273,0.006405991,0.000900832,0.014005975,0.226153095,1.584780168,1.697669016,2.033399845,1.990006709,1.983983615,2.079347128,1.644362705,1.310380654,1.24021266,1.811974305,3.572465511,5.481624089,6.052866572,4.89475542,7.488075068
Belgium,BEL,,,,,,,,,,,,,,,,1.008397816,0.926563758,0.911182981,0.944694654,0.895687387,0.898116558,0.906020724,0.909198233,0.973534816,0.935864905,0.94737376,0.915203599,0.853573661,0.881165995,1.666423431,1.745048065,1.887100073,1.906289575,2.038412567,1.883699392,1.713987356,1.771851809,1.713011108,1.62620515,1.729700952,1.691187089,1.661416147,1.75500262,1.816552491,1.777429211,1.784817797,1.780455529,1.909412409,2.025613622,2.294993422,2.28358795,2.241136753,2.251614943,2.241335162,2.271428066,2.263488445,2.265743437,2.274522625,2.29129219,2.300966979,2.460108248,2.340347654,2.300838834,2.290046137
Benin,BEN,,,,,,,,,,,,,,,1.331006209,2.598888567,4.014740585,5.223799812,6.054419092,6.147334192,5.479604473,4.80250201,2.914546349,4.002875146,4.001959386,3.852703001,3.80376047,3.854655985,4.389256728,6.079799903,5.155674013,5.938797973,8.040204866,4.787478619,5.599355224,4.559875503,3.59651816,3.09070318,3.632387331,2.040219366,2.439672214,2.265660583,1.814535047,1.035679642,1.019616372,2.237318327,2.781784043,2.94763505,2.123711149,1.298511881,1.463702889,1.610217906,1.864795593,1.987566799,2.293338363,1.88309227,1.875687165,1.541348911,1.393470126,1.507869758,1.304438602,1.305513613,1.437027905,1.185616194
Burkina Faso,BFA,,,,,,,,,,,,,,,4.784810017,5.069787766,5.224849501,5.317017328,5.291102178,6.272253888,7.799527097,8.635956825,6.286996902,7.07464148,6.181177189,8.110940454,9.410453545,7.311904786,7.149283583,5.935923131,4.503686084,3.603386572,3.837526512,3.663731086,4.239294235,3.285468208,2.938649898,3.016789575,2.555254222,2.050520079,2.268420174,1.564567953,1.621437289,1.133727471,0.814744415,0.921925864,1.038520267,1.107254695,1.055312109,1.019754174,1.191560041,1.82998843,1.6716861,2.294425958,2.842340843,3.253722386,3.096412773,2.954849044,2.867515377,2.91434714,2.959705462,2.906613648,2.783776222,2.848485173
Bangladesh,BGD,,,,,,,,,,,,,,,,,0.185440982,0.817260574,0.869126602,1.099475884,1.867161932,1.88176747,2.841847986,3.64817268,2.64653898,2.255417149,2.64665008,3.077652095,2.873027471,2.633545458,2.464893983,2.485233373,2.875409362,3.037325226,3.408134039,3.16729632,2.895575156,3.164102816,3.212565379,3.524037661,3.686596776,3.897946271,5.222669239,5.305388203,5.504373149,6.210062118,7.559662671,8.242910096,9.756552327,10.26653988,9.412414408,9.385980434,10.59151445,9.244700274,8.668994887,7.837971798,5.118035904,4.596677408,4.843822713,5.228418129,5.816267954,5.334378053,4.673764989,5.067993651
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337536549,0.447149438,0.337140893,0.312078991,0.439645886,5.825102786,7.175201796,8.127164074,6.586078777,5.400016414,4.992464212,3.811492238,3.521707488,3.059743021,2.625858152,2.568870832,2.66887046,2.984595537,2.947525104,2.941706933,3.086432038,3.698531975,3.628484559,3.400603434,2.926724937,2.353028164,2.250587935,2.441162594
